Pais,Nome_da_moeda,Continente,Países_vizinhos,Timestamp
Namibia,Dollar,AF,"South Africa, Botswana, Zambia, Angola",2024-09-04T15:14:35.305828
Nauru,Dollar,OC,,2024-09-04T15:14:35.399829
Nepal,Rupee,AS,"China, India",2024-09-04T15:14:35.587826
Netherlands,Euro,EU,"Germany, Belgium",2024-09-04T15:14:35.741826
Netherlands Antilles,Guilder,NA,Guadeloupe,2024-09-04T15:14:35.832825
New Caledonia,Franc,OC,,2024-09-04T15:14:35.923825
New Zealand,Dollar,OC,,2024-09-04T15:14:36.013835
Nicaragua,Cordoba,NA,"Costa Rica, Honduras",2024-09-04T15:14:36.179837
Niger,Franc,AF,"Chad, Benin, Algeria, Libya, Burkina Faso, Nigeria, Mali",2024-09-04T15:14:37.169536
Nigeria,Naira,AF,"Chad, Niger, Benin, Cameroon",2024-09-04T15:14:37.469776
Niue,Dollar,OC,,2024-09-04T15:14:37.557776
Norfolk Island,Dollar,OC,,2024-09-04T15:14:37.644778
North Korea,Won,AS,"China, South Korea, Russia",2024-09-04T15:14:37.864778
Northern Mariana Islands,Dollar,OC,,2024-09-04T15:14:37.952779
Norway,Krone,EU,"Finland, Russia, Sweden",2024-09-04T15:14:38.172778
Oman,Rial,AS,"Saudi Arabia, Yemen, United Arab Emirates",2024-09-04T15:14:38.400122
Pakistan,Rupee,AS,"China, Afghanistan, Iran, India",2024-09-04T15:14:38.681121
Palau,Dollar,OC,,2024-09-04T15:14:38.778122
Palestinian Territory,Shekel,AS,"Jordan, Israel",2024-09-04T15:14:39.469600
Panama,Balboa,NA,"Costa Rica, Colombia",2024-09-04T15:14:39.616601
Papua New Guinea,Kina,OC,Indonesia,2024-09-04T15:14:39.726600
Paraguay,Guarani,SA,"Bolivia, Brazil, Argentina",2024-09-04T15:14:39.939600
Peru,Sol,SA,"Ecuador, Chile, Bolivia, Brazil, Colombia",2024-09-04T15:14:40.278209
Philippines,Peso,AS,,2024-09-04T15:14:40.400378
Pitcairn,Dollar,OC,,2024-09-04T15:14:40.487373
Poland,Zloty,EU,"Germany, Lithuania, Slovakia, Czech Republic, Belarus, Ukraine, Russia",2024-09-04T15:14:40.946497
Portugal,Euro,EU,Spain,2024-09-04T15:14:41.036497
Puerto Rico,Dollar,NA,,2024-09-04T15:14:41.145496
Qatar,Rial,AS,Saudi Arabia,2024-09-04T15:14:41.767538
Republic of the Congo,Franc,AF,"Central African Republic, Gabon, Democratic Republic of the Congo, Cameroon, Angola",2024-09-04T15:14:42.113538
Reunion,Euro,AF,,2024-09-04T15:14:42.203537
Romania,Leu,EU,"Moldova, Hungary, Ukraine, Serbia and Montenegro, Bulgaria, Serbia",2024-09-04T15:14:42.612748
Russia,Ruble,EU,"Georgia, China, Belarus, Ukraine, Kazakhstan, Latvia, Poland, Estonia, Lithuania, Finland, Mongolia, Norway, Azerbaijan, North Korea",2024-09-04T15:14:43.534795
Rwanda,Franc,AF,"Tanzania, Democratic Republic of the Congo, Burundi, Uganda",2024-09-04T15:14:43.795764
Saint Barthelemy,Euro,NA,,2024-09-04T15:14:43.903765
Saint Helena,Pound,AF,,2024-09-04T15:14:43.995765
Saint Kitts and Nevis,Dollar,NA,,2024-09-04T15:14:44.087289
Saint Lucia,Dollar,NA,,2024-09-04T15:14:44.179024
Saint Martin,Euro,NA,Sint Maarten,2024-09-04T15:14:44.801507
Saint Pierre and Miquelon,Euro,NA,,2024-09-04T15:14:44.892508
Saint Vincent and the Grenadines,Dollar,NA,,2024-09-04T15:14:45.004508
Samoa,Tala,OC,,2024-09-04T15:14:45.095510
San Marino,Euro,EU,Italy,2024-09-04T15:14:45.188507
Sao Tome and Principe,Dobra,AF,,2024-09-04T15:14:45.277508
Saudi Arabia,Rial,AS,"Qatar, Oman, Iraq, Yemen, Jordan, United Arab Emirates, Kuwait",2024-09-04T15:14:45.768508
Senegal,Franc,AF,"Guinea, Mauritania, Guinea-Bissau, Gambia, Mali",2024-09-04T15:14:46.117507
Serbia,Dinar,EU,"Albania, Hungary, Macedonia, Romania, Croatia, Bosnia and Herzegovina, Bulgaria, Montenegro, Kosovo",2024-09-04T15:14:46.710292
Serbia and Montenegro,Dinar,EU,"Albania, Hungary, Macedonia, Romania, Croatia, Bosnia and Herzegovina, Bulgaria",2024-09-04T15:14:47.152508
Seychelles,Rupee,AF,,2024-09-04T15:14:47.793175
Sierra Leone,Leone,AF,"Liberia, Guinea",2024-09-04T15:14:47.955175
Singapore,Dollar,AS,,2024-09-04T15:14:48.045174
Sint Maarten,Guilder,NA,Saint Martin,2024-09-04T15:14:48.136177
Slovakia,Euro,EU,"Poland, Hungary, Czech Republic, Ukraine, Austria",2024-09-04T15:14:48.497176
Slovenia,Euro,EU,"Hungary, Italy, Croatia, Austria",2024-09-04T15:14:48.799175
Solomon Islands,Dollar,OC,,2024-09-04T15:14:48.909174
Somalia,Shilling,AF,"Ethiopia, Kenya, Djibouti",2024-09-04T15:14:49.117174
South Africa,Rand,AF,"Zimbabwe, Swaziland, Mozambique, Botswana, Namibia, Lesotho",2024-09-04T15:14:49.522174
South Georgia and the South Sandwich Islands,Pound,AN,,2024-09-04T15:14:49.611175
South Korea,Won,AS,North Korea,2024-09-04T15:14:50.230962
South Sudan,Pound,AF,"Democratic Republic of the Congo, Central African Republic, Ethiopia, Kenya, Sudan, Uganda",2024-09-04T15:14:50.718183
Spain,Euro,EU,"Andorra, Portugal, Gibraltar, France, Morocco",2024-09-04T15:14:51.055583
Sri Lanka,Rupee,AS,,2024-09-04T15:14:51.144582
Sudan,Pound,AF,"South Sudan, Chad, Egypt, Ethiopia, Eritrea, Libya, Central African Republic",2024-09-04T15:14:51.606584
Suriname,Dollar,SA,"Guyana, Brazil, French Guiana",2024-09-04T15:14:51.842582
Svalbard and Jan Mayen,Krone,EU,,2024-09-04T15:14:51.950402
Swaziland,Lilangeni,AF,"South Africa, Mozambique",2024-09-04T15:14:52.102292
Sweden,Krona,EU,"Norway, Finland",2024-09-04T15:14:52.251291
Switzerland,Franc,EU,"Germany, Italy, Liechtenstein, France, Austria",2024-09-04T15:14:52.592295
Syria,Pound,AS,"Iraq, Jordan, Israel, Turkey, Lebanon",2024-09-04T15:14:53.458202
Taiwan,Dollar,AS,,2024-09-04T15:14:53.568204
Tajikistan,Somoni,AS,"China, Afghanistan, Kyrgyzstan, Uzbekistan",2024-09-04T15:14:53.859205
Tanzania,Shilling,AF,"Mozambique, Kenya, Democratic Republic of the Congo, Rwanda, Zambia, Burundi, Uganda, Malawi",2024-09-04T15:14:54.383377
Thailand,Baht,AS,"Laos, Myanmar, Cambodia, Malaysia",2024-09-04T15:14:54.670378
Togo,Franc,AF,"Benin, Ghana, Burkina Faso",2024-09-04T15:14:54.897439
Tokelau,Dollar,OC,,2024-09-04T15:14:54.987439
Tonga,Pa'anga,OC,,2024-09-04T15:14:55.079439
Trinidad and Tobago,Dollar,NA,,2024-09-04T15:14:55.168440
Tunisia,Dinar,AF,"Algeria, Libya",2024-09-04T15:14:55.335439
Turkey,Lira,AS,"Syria, Georgia, Iraq, Iran, Greece, Armenia, Azerbaijan, Bulgaria",2024-09-04T15:14:56.400251
Turkmenistan,Manat,AS,"Afghanistan, Iran, Uzbekistan, Kazakhstan",2024-09-04T15:14:56.666672
Turks and Caicos Islands,Dollar,NA,,2024-09-04T15:14:56.757206
